sha1_hash,tlsh,signature
000a3d6cbdf73889c3507f6df0c1261e04d1dee8,AD34D72C7CD67EBAEF12F1327D7AAA68B21D5D212C24436E740C7BAB177113D5C44A0A,Heodo
0034743bba775f322f13ac8de138a13159bf32ba,54049284A1C1FC5AC95587371A8FFEF8521A6C407ECDE182237EF6682C3712E569E2C4,Heodo
002819724ceed189e647e35b8c38b8527d54d940,6D24034F9B7C6152FC0163FDA92199A43D69BAD4B92CBF09152F202F2825224FCF7617,njrat
00451b16c00fcfe7629c38940edbbebffe956de4,57345C1271DFEF3BDCA242B06956DB74246CBC55AD88814B30CD77AD2F3A92E268D04D,Heodo
0051ed74d8cf484df42220bb0be1bd2b4a11e809,A7440105799D1A69E3B292F343B0E621026781415A73DD66F02C02C98797F8FDBB7B22,NanoCore
005fe7575e3308b3056ce72051ad1e558341f936,BF252310DC9A498E5821E92FE0BEFE64F166D474808DE2F6D9826975728C31E50CC7BB,ModiLoader
0091a95bd8e7451625deae715aac95031467e783,30A2CF5E50B5B42BC723603DD2009DF1B90E67459442F14F31F2BA9A2AA62CB13CE19E,Quakbot
00a147feff2db2f5383cde5d7b7d9ab7147d4048,29944B17BD85E529C044597380EF1E81A376A9D13333D74FBF8AAB680E4025A7E6731E,Formbook
00f31f75ece9a0f48744d14250433f4c64bff56a,36F3950A1AC1994EF33A8E7017D9AAED1456CCF58D9C44273244BA257A37F40E9E1FF8,Heodo
00ad5c9f08aee6ab1f210ccefbb3c0764fca3085,B2A2CF5E51B5B81EC723603DD2009DF1B90E6B819043F54F31F6BA9A26A62CB13CF19E,Quakbot
00f2b57ce4c5faa34361f07a5abe4b180da190fe,3404E8007E84FC19ED5401354ECBDEFD6018AC60FA5696EA303C76789B3E277A79E249,Heodo
00975bcdc007b577d803c2beddcbb4faff7fd0ae,13E3816571D25A36EC35B1314897AFF8201C7C325880433EB5CD7AAA9B36F6FA9D16C0,Heodo
0043d627caf0260cd3bed5a2a15876225735f504,EDB2BF5E9263A898C72B587E800908E1150FFC615582E65F36B5FB9D5ADB2C30FCF18E,Quakbot
002076ef9ea05889435f50069a7fac8b0d5f9e99,A2B2AF5EE124898CE27B583D5655EC694208A0E51702E18F31ACF6863B791C39BDF3BF,NO_SIG
00575c7d9534642cf215ac952761d548905247d6,5F157E23F2914477C1631678AC6B5769993ABF112E28694B6BF83C0C5F393513C3E29B,RemcosRAT
0059753cdaaa364965fec3159c003db1e33c4e03,E0F4F1D4B7217662DD3AB2B819D78EC07A99C417A053439FA450F3937C07BEA3E3A095,Quakbot
004e4853963b6187f791dee26a20c7bf952d2bd3,E7D49C2132A0C436D16736748DAAE77466AABC704E3553877BD02F7D2F345C2AA3871B,Heodo
00123d77fe2b364226930868c7701d82d22978b3,D3149105F4FDBD3AD2524EF10F9AEAA255F5FCF4472B62A632507A1C162AE70C943270,Heodo
00372f1bb613e3e8390162b87f4f4b95738c8048,FA346D4FDA477A36D47720304206EAB52996AC4A6F15422FB04E3EEC7F3CC58137A5E6,Heodo
0013bc93330b338e6976a852769c9bd37a7e0247,7514824961C4FC9ADF45533B0F8BDEF8912A6C816D9CE582237CFA281C3694E579D2C8,Heodo
00032d76df656681a3bc0b214632711e7bbb909b,43C49D52F7E449F5D073913ECAA3878AEA72B858473047CB025497192F3B7E19A3E721,NO_SIG
00a75c747955e5a8789649ebeea93b7c98ef612e,B15353A6F32CFD45DA94A7394EDB86D21327FC604E62430B3298B71B7E7D1508E0E586,Quakbot
00485cf237f902896dc37f94ef890bdceb7fbbb0,46B37C17ED498953D0088BBD2D078DBA3F0CB91D4D004BEF7579AE9BAD312121DAB21E,GuLoader
006b936f2f99e729483c1b4252f52e2782c7e871,98B2AF5EE128898CE27B583D5545DC69520860E51B02F18F31ACF6862B7A1C39BDF37F,NO_SIG
00209a498e531796fb65b9e73e80ef98c2779795,4AE57C22B681543ED46B0B35457BAA60DA3FBB713A27892F57F4084C8F765512E3E30B,NO_SIG
004c7e6adb148b6aebd4cd3c02154295fadd63bf,D0F3C54FE289FD16CB02427019FAFFE82CA65C697B498C76205AFF3F1ABB151C591240,Heodo
00297914c941cc05825e157a825908832593509d,1BA49D2133646FA9F17DE3388928540493F6B647E366D94EFEA404CA0AA3FC18367757,NO_SIG
008044148d8f074796b815d2ec54cf22dac7e7a7,71A2CF5E51B5B41EC723603DD2009DF1B90E6B819043F54F31F6BA9A26A62CB23CF19E,Quakbot
00a3cc7fccc6f5593d90bf4c6be85a0898e2b425,26F49C113AD0E476C27231B1461AE374AAFEAC304E36578BABD4077D5F345D29B2932E,Heodo
00130069634c7926d815f284437b2fbf9945f968,37744152ABEC2697D53DA2305375A40D9FFAC99A1019FB0E3E4206D608E5E00DFB1E77,njrat
00f811f0c243447671272d2b4c7b32a46d51c9a3,0B54196D6B88B902F73D1D3289D217A013F190870E12D74F6FC42FED7A567CA294A396,AgentTesla
00982a4fcbfddf1ebc9d0dbc182e0711c906035d,1A7423BE25E3CBFA0221FF73613A312E1598520BA40B9A84923179CF517D57E1EB47C8,Loki
00c958105bccef4600ee3f5479986f9ac0920e30,BAF34B58BCC07D06E1184AF60CAEDBF876166E0D29728DA7313DFB3DA67863D9E01641,Heodo
0078d1a36e40d89de0e54de0411a6fc3fee0c573,0994BF5373E5C833EEAA10310CF847E9BBB5F8108D75CA8B57947A1ED8712D2863E265,Heodo
00d6da13bfde8a6d580b64495618216d9d5e81b7,D4142BA820E57C9EC90732316EFA8FBF50801E4A1562897AA739336D3EFB135F275115,Heodo
005c98f66ecfc3d00e8f6caf1098f1d67f4d82b1,41048D40F9A1C9B2C43B8A34487F8B655B1D3D224AA4DA7B73C8325E4E707D1583ADB7,IcedID
003d965f1eadcafcdd8237d36db440bdab566632,9B84F18C7394B2EFC46BC9369E640D24FA60B62B570B874BB44311AD9D5E6D7CF240B2,AgentTesla
